Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2021/2022);LOUISE MICHEL;11 RUE JEAN POULMARCH;10ème Ardt;75110;2021-2022;Collège;"{""coordinates"": [2.3636082456277463, 48.872309051411165], ""type"": ""Point""}";48.872309051411165, 2.3636082456277463
COLLEGES (année scolaire 2021/2022);MOLIERE;71 RUE DU RANELAGH;16ème Ardt;75116;2021-2022;Collège;"{""coordinates"": [2.272125246761933, 48.85500051295463], ""type"": ""Point""}";48.85500051295463, 2.272125246761933
COLLEGES (année scolaire 2021/2022);JEAN PERRIN;6 RUE EUGENE REISZ;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.411192015083835, 48.85685261667771], ""type"": ""Point""}";48.85685261667771, 2.411192015083835
COLLEGES (année scolaire 2021/2022);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
COLLEGES (année scolaire 2021/2022);GERARD PHILIPE;8 RUE DES AMIRAUX;18ème Ardt;75118;2021-2022;Collège;"{""coordinates"": [2.351945405253571, 48.89445882794094], ""type"": ""Point""}";48.89445882794094, 2.351945405253571
COLLEGES (année scolaire 2021/2022);BERNARD PALISSY;21 RUE DES PETITS HOTELS;10ème Ardt;75110;2021-2022;Collège;"{""coordinates"": [2.35285899572182, 48.87746346177602], ""type"": ""Point""}";48.87746346177602, 2.35285899572182
COLLEGES (année scolaire 2022/2023);JANSON DE SAILLY;106 RUE DE LA POMPE;16ème Ardt;75116;2022-2023;Collège;"{""coordinates"": [2.2794523152558988, 48.865560914141476], ""type"": ""Point""}";48.865560914141476, 2.2794523152558988
COLLEGES (année scolaire 2022/2023);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.3703616254082545, 48.88807096328259], ""type"": ""Point""}";48.88807096328259, 2.3703616254082545
COLLEGES (année scolaire 2022/2023);GEORGES CLEMENCEAU;43 RUE DES POISSONNIERS;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.3515397719869475, 48.88906745779489], ""type"": ""Point""}";48.88906745779489, 2.3515397719869475
COLLEGES (année scolaire 2022/2023);CONDORCET;61 RUE D' AMSTERDAM;8ème Ardt;75108;2022-2023;Collège;"{""coordinates"": [2.32697162874192, 48.88097843520577], ""type"": ""Point""}";48.88097843520577, 2.32697162874192
